captured_at,last_updated,retention,lpr_cameras,unique_vehicles,searches,hotlists,hotlist_hits,sharing_outbound_count,sharing_inbound_count,audit_rows_on_portal,audit_rows_new
2026-09-17T04:55:39Z,Wed Sep 16 2026,30 days,22,228269,71,"NCMEC Amber Alert, Wisconsin DOJ, MI LEIN",4083,,,71,71
backfill,,,,,,,,,,,0
