captured_at,last_updated,retention,lpr_cameras,unique_vehicles,searches,hotlists,hotlist_hits,sharing_outbound_count,sharing_inbound_count,audit_rows_on_portal,audit_rows_new
2026-09-14T07:21:54Z,Sun Sep 13 2026,30 days,4,11219,19,"NCMEC Amber Alert, FBI National Hotlist, MI LEIN",26,194,,19,19
2026-09-14T13:30:26Z,Sun Sep 13 2026,30 days,4,11219,19,"NCMEC Amber Alert, FBI National Hotlist, MI LEIN",26,194,,19,0
2026-09-15T13:30:26Z,Mon Sep 14 2026,30 days,4,11239,18,"NCMEC Amber Alert, FBI National Hotlist, MI LEIN",26,194,,18,0
2026-09-16T13:30:37Z,Tue Sep 15 2026,30 days,4,11217,18,"NCMEC Amber Alert, FBI National Hotlist, MI LEIN",26,194,,18,0
backfill,,,,,,,,,,,0
