captured_at,last_updated,retention,lpr_cameras,unique_vehicles,searches,hotlists,hotlist_hits,sharing_outbound_count,sharing_inbound_count,audit_rows_on_portal,audit_rows_new
2026-09-14T06:58:38Z,Sun Sep 13 2026,30 days,31,421151,190,"NCMEC Amber Alert, Wisconsin DOJ, MI LEIN",6517,2545,,190,190
2026-09-14T18:15:31Z,Mon Sep 14 2026,30 days,31,419595,194,"NCMEC Amber Alert, Wisconsin DOJ, MI LEIN",6569,2545,,194,4
2026-09-15T18:15:27Z,Tue Sep 15 2026,30 days,31,418913,197,"NCMEC Amber Alert, Wisconsin DOJ, MI LEIN",6548,2545,,197,8
backfill,,,,,,,,,,,0
