captured_at,last_updated,retention,lpr_cameras,unique_vehicles,searches,hotlists,hotlist_hits,sharing_outbound_count,sharing_inbound_count,audit_rows_on_portal,audit_rows_new
2026-09-14T07:21:24Z,Sun Sep 13 2026,30 days,77,749197,257,"NCMEC Amber Alert, Wisconsin DOJ, MI LEIN",7901,,,257,257
2026-09-14T08:00:28Z,Sun Sep 13 2026,30 days,77,749197,257,"NCMEC Amber Alert, Wisconsin DOJ, MI LEIN",7901,,,257,0
2026-09-15T08:00:28Z,Mon Sep 14 2026,30 days,77,749428,272,"NCMEC Amber Alert, Wisconsin DOJ, MI LEIN",8008,,,272,24
2026-09-16T08:00:27Z,Tue Sep 15 2026,30 days,77,751477,278,"NCMEC Amber Alert, Wisconsin DOJ, MI LEIN",8138,,,278,11
2026-09-17T08:00:28Z,Wed Sep 16 2026,30 days,77,754465,303,"NCMEC Amber Alert, Wisconsin DOJ, MI LEIN",8155,,,303,25
2026-09-17T20:08:29Z,Thu Sep 17 2026,30 days,77,757725,333,"NCMEC Amber Alert, Wisconsin DOJ, MI LEIN",8423,,,333,39
backfill,,,,,,,,,,,0
